studyCountry;originCountry;siteType;IDPCamp;gender;age;martialStatus;education;protectionStatus
180;180;2;0;2;6;5;0;#NULL!
586;4;1;1;1;5;2;0;4
180;180;2;0;2;4;5;0;#NULL!
180;180;2;0;2;4;2;0;#NULL!
180;180;2;0;2;5;2;0;#NULL!
180;180;1;0;2;5;2;0;#NULL!
400;760;3;1;1;5;2;0;#NULL!
180;180;2;0;2;5;2;0;#NULL!
400;760;3;1;1;6;2;0;#NULL!
180;180;2;0;2;3;3;0;#NULL!
400;760;3;1;2;4;2;0;#NULL!
180;180;2;0;2;2;2;0;#NULL!
400;760;3;1;1;6;2;0;#NULL!
180;180;2;0;1;5;3;0;#NULL!
400;760;3;1;1;4;2;0;#NULL!
231;232;1;1;2;3;2;0;#NULL!
231;232;1;0;1;4;2;0;#NULL!
231;232;1;1;1;4;2;0;#NULL!
231;232;1;0;1;4;2;0;#NULL!
180;180;2;0;1;6;2;0;#NULL!
180;180;2;0;2;6;3;0;#NULL!
400;760;3;1;2;5;5;0;#NULL!
180;180;1;0;2;4;4;0;#NULL!
400;760;3;1;1;5;2;0;1
400;760;3;1;2;4;2;0;#NULL!
400;760;3;1;1;6;5;0;#NULL!
180;180;1;0;2;3;4;0;#NULL!
180;180;2;0;2;4;4;0;#NULL!
586;4;3;1;2;4;2;0;#NULL!
180;180;1;0;2;4;3;0;#NULL!
586;4;2;0;2;5;2;0;#NULL!
586;4;1;0;2;5;2;0;#NULL!
586;4;1;0;2;4;2;0;#NULL!
586;4;1;0;1;6;2;0;#NULL!
586;4;1;0;2;5;2;0;#NULL!
586;4;1;0;2;4;2;0;#NULL!
586;4;1;0;2;6;2;0;#NULL!
586;4;1;0;2;6;5;0;#NULL!
586;4;1;0;2;6;2;0;#NULL!
586;4;1;0;2;5;2;0;#NULL!
586;4;1;0;2;4;2;0;#NULL!
586;4;1;0;1;5;2;0;#NULL!
586;4;1;0;1;6;2;0;#NULL!
586;4;1;0;1;5;2;0;#NULL!
586;4;1;0;1;5;2;0;#NULL!
586;4;1;0;1;4;2;0;#NULL!
586;4;1;0;1;6;5;0;#NULL!
586;4;1;0;1;4;2;0;#NULL!
300;760;1;1;1;3;2;0;2
300;586;1;0;1;3;2;0;4
300;4;1;1;1;1;1;0;3
300;760;1;1;1;5;2;0;2
300;760;1;1;1;5;2;0;1
380;4;1;0;1;2;1;0;2
300;760;1;1;1;5;2;0;2
300;760;1;1;2;2;2;0;1
300;760;1;1;2;2;2;0;2
300;760;1;1;1;3;1;0;2
300;760;1;1;1;3;1;0;2
300;760;1;1;1;5;2;0;#NULL!
300;760;1;1;1;2;2;0;2
300;760;1;1;1;3;2;0;2
300;760;1;1;1;3;2;0;2
300;760;1;1;1;4;2;0;1
300;760;1;1;1;3;2;0;1
300;760;1;1;1;3;2;0;2
300;760;1;1;1;5;2;0;1
300;760;1;1;1;3;2;0;2
300;760;1;1;1;3;2;0;1
300;760;1;1;1;3;2;0;2
300;760;1;1;1;3;2;0;2
300;760;1;1;1;2;1;0;2
300;760;1;1;1;3;2;0;1
300;760;1;1;1;3;2;0;1
300;760;1;1;1;3;2;0;1
300;760;1;1;1;2;1;0;1
300;760;1;1;2;2;2;0;1
300;760;1;1;2;2;1;0;1
380;999;3;1;2;2;3;0;1
380;999;3;1;2;2;3;0;1
380;999;3;1;1;2;1;0;2
300;4;1;1;2;4;2;0;98
300;760;1;1;1;3;2;0;2
300;760;1;1;1;3;2;0;2
300;760;1;1;1;2;1;0;2
300;760;1;1;1;5;2;0;1
300;760;1;1;1;2;2;0;1
300;760;1;1;1;2;1;0;1
300;760;1;1;1;2;2;0;1
300;760;1;1;1;2;1;0;1
300;760;1;1;1;2;2;0;1
380;586;1;1;1;2;1;0;1
300;4;1;1;1;1;1;0;4
300;760;1;1;1;2;2;0;2
300;760;1;0;1;3;2;0;2
300;4;1;1;2;3;2;0;2
300;760;1;1;1;2;1;0;1
300;760;1;1;1;3;2;0;#NULL!
380;4;1;1;1;2;1;0;2
300;4;3;0;2;2;4;0;2
380;232;1;1;1;2;2;0;2
380;999;1;0;1;2;1;0;3
380;232;1;0;1;2;1;0;2
380;999;1;0;1;2;1;0;2
380;586;1;0;1;2;2;0;3
380;232;1;0;1;4;2;0;2
380;999;1;0;1;2;1;0;3
380;232;1;0;2;5;1;0;2
380;232;1;0;1;2;1;0;3
300;760;1;1;1;4;2;0;2
300;4;1;0;1;1;1;0;2
300;760;1;1;1;4;2;0;1
300;760;1;1;1;2;1;0;1
400;760;3;1;2;2;1;0;1
400;760;3;1;1;4;2;0;#NULL!
231;232;3;1;1;2;1;0;2
400;760;1;0;2;4;2;0;#NULL!
400;760;1;0;2;4;2;0;2
400;760;1;1;2;3;2;0;#NULL!
400;760;1;0;2;3;2;0;#NULL!
231;232;3;1;2;3;2;0;#NULL!
400;760;3;1;1;4;2;0;#NULL!
400;760;1;0;2;3;5;0;2
400;760;3;1;1;3;2;0;#NULL!
400;760;1;0;2;3;2;0;2
400;760;1;0;1;3;2;0;2
231;232;3;1;2;3;2;0;#NULL!
231;232;3;1;1;4;2;0;2
231;232;3;1;2;3;2;0;2
231;232;3;1;1;3;2;0;2
400;760;1;0;2;4;2;0;2
400;760;1;0;2;4;2;0;2
400;760;1;0;2;4;2;0;2
400;760;1;0;2;3;2;0;1
400;760;1;0;2;3;2;0;2
231;232;3;1;1;3;2;0;#NULL!
231;232;3;1;2;4;4;0;2
400;760;1;0;2;3;2;0;#NULL!
400;760;1;0;2;4;2;0;2
400;760;1;0;1;3;4;0;2
400;760;1;0;1;6;2;0;#NULL!
400;760;1;0;2;3;#NULL!;0;#NULL!
231;232;3;1;2;4;2;0;2
231;232;3;1;1;2;1;0;#NULL!
231;232;3;1;1;4;2;0;#NULL!
231;232;3;1;2;2;2;0;2
231;232;3;1;2;3;2;0;2
400;760;1;0;2;4;2;0;#NULL!
400;760;1;0;1;4;2;0;#NULL!
400;760;1;0;2;4;5;0;#NULL!
400;760;1;0;1;5;2;0;#NULL!
300;760;1;1;1;3;2;0;2
231;232;3;1;1;3;2;0;#NULL!
231;232;3;1;2;2;3;0;#NULL!
231;232;3;1;1;1;1;0;#NULL!
231;232;3;1;1;6;4;0;#NULL!
586;4;1;1;1;4;2;0;#NULL!
300;760;1;1;1;3;2;0;1
231;232;3;1;2;2;2;0;#NULL!
231;232;3;1;1;3;2;0;2
400;760;1;0;2;3;4;0;#NULL!
400;760;1;0;2;4;2;0;1
400;760;1;0;2;4;2;0;#NULL!
400;760;1;0;2;2;2;0;#NULL!
586;4;1;0;2;4;2;0;#NULL!
400;760;1;0;2;3;4;0;#NULL!
400;760;1;0;2;3;4;0;#NULL!
180;999;2;0;2;3;5;0;#NULL!
231;232;2;1;1;1;1;0;2
300;4;1;0;1;3;2;0;1
231;232;3;1;1;3;2;0;#NULL!
586;586;1;0;2;3;2;0;#NULL!
180;180;1;0;2;3;4;0;#NULL!
400;760;2;0;2;4;4;0;#NULL!
400;760;1;0;2;6;1;0;#NULL!
180;180;2;0;2;3;3;0;#NULL!
231;232;3;1;2;3;2;0;#NULL!
400;760;1;0;2;6;5;0;#NULL!
400;760;1;0;2;5;2;0;#NULL!
400;760;1;0;2;6;5;0;#NULL!
400;760;1;0;2;6;2;0;#NULL!
180;180;2;0;2;2;2;0;#NULL!
586;586;1;0;1;3;2;0;#NULL!
400;760;1;0;2;6;2;0;#NULL!
400;760;3;0;2;2;2;0;98
400;760;2;0;2;4;5;0;#NULL!
180;180;1;0;1;5;2;0;#NULL!
400;760;3;0;1;5;2;0;#NULL!
400;760;3;0;1;3;2;0;#NULL!
400;760;3;0;2;5;5;0;#NULL!
400;760;2;0;2;4;2;0;#NULL!
400;760;2;0;1;1;1;0;#NULL!
180;180;2;0;2;3;2;0;#NULL!
400;760;3;0;1;5;2;0;#NULL!
400;760;1;0;1;4;2;0;#NULL!
400;760;3;0;1;3;2;0;#NULL!
400;760;1;0;2;4;2;0;#NULL!
231;232;1;0;2;3;2;0;2
400;760;2;0;1;2;1;0;#NULL!
400;760;1;0;1;2;2;0;#NULL!
400;760;3;0;1;1;1;0;#NULL!
400;760;3;0;1;6;2;0;#NULL!
400;760;3;0;2;3;2;0;#NULL!
400;760;3;0;1;4;2;0;#NULL!
586;4;1;0;2;3;2;0;#NULL!
586;586;1;0;2;2;2;0;#NULL!
586;4;1;0;2;4;2;0;#NULL!
586;4;1;0;2;4;2;0;#NULL!
180;180;2;0;2;3;3;0;#NULL!
586;4;1;1;1;3;2;0;4
400;760;3;0;2;4;5;0;#NULL!
400;760;2;0;1;5;2;0;#NULL!
400;760;2;0;2;3;4;0;#NULL!
180;180;1;0;2;3;3;0;#NULL!
180;180;2;0;2;3;3;0;#NULL!
400;760;1;0;1;4;4;0;#NULL!
180;180;2;0;2;3;3;0;#NULL!
180;180;1;0;2;3;3;0;#NULL!
180;180;2;0;2;4;2;0;#NULL!
180;180;2;0;2;4;4;0;#NULL!
586;4;1;0;2;4;2;0;#NULL!
180;180;1;0;1;2;3;0;#NULL!
180;180;1;0;1;4;3;0;#NULL!
180;180;1;0;2;2;4;0;#NULL!
180;180;2;0;1;4;3;0;#NULL!
586;586;1;0;1;3;2;0;#NULL!
586;4;1;0;2;5;2;0;4
586;4;1;0;1;4;2;0;#NULL!
586;586;1;0;2;3;2;0;#NULL!
586;4;1;0;1;4;2;0;4
180;180;2;0;1;2;1;0;#NULL!
180;180;2;0;2;2;3;0;#NULL!
180;180;2;0;1;5;2;0;#NULL!
180;180;2;0;1;4;3;0;#NULL!
180;180;1;0;1;5;3;0;#NULL!
400;760;3;1;1;3;1;0;1
180;180;1;0;2;2;3;0;#NULL!
400;760;1;0;1;3;2;0;#NULL!
400;760;3;0;1;3;2;0;#NULL!
586;4;1;0;2;3;2;0;1
180;180;1;0;2;3;2;0;#NULL!
180;180;2;0;1;4;2;0;#NULL!
180;180;1;0;2;4;2;0;#NULL!
180;180;2;0;1;5;2;0;#NULL!
180;180;2;0;2;2;3;0;#NULL!
586;4;1;0;1;5;2;0;#NULL!
180;180;1;0;2;4;2;0;#NULL!
180;180;1;0;2;5;4;0;#NULL!
231;232;1;0;2;5;1;0;#NULL!
180;180;1;0;2;3;3;0;#NULL!
400;760;1;0;1;2;2;0;#NULL!
400;760;3;0;1;3;2;0;#NULL!
586;4;1;0;1;4;2;0;#NULL!
586;4;1;0;2;4;2;0;#NULL!
180;180;2;0;2;4;3;0;#NULL!
180;180;2;0;2;2;2;0;#NULL!
586;4;1;0;1;4;2;0;#NULL!
400;760;3;0;2;4;2;0;#NULL!
180;180;1;0;2;5;2;0;#NULL!
180;180;1;0;1;4;2;0;#NULL!
180;180;1;0;2;4;3;0;#NULL!
180;180;2;0;2;2;3;0;#NULL!
231;232;1;0;2;4;4;0;1
400;760;1;0;1;2;2;0;#NULL!
586;4;1;0;2;4;2;0;#NULL!
180;180;1;0;2;6;5;0;#NULL!
180;180;2;0;2;3;2;0;#NULL!
180;180;2;0;2;3;3;0;#NULL!
180;180;1;0;1;4;3;0;#NULL!
180;180;2;0;1;3;2;0;#NULL!
180;180;2;0;1;1;1;0;#NULL!
586;4;1;1;1;4;2;0;#NULL!
231;232;1;1;2;2;2;0;#NULL!
586;4;1;0;1;6;2;0;#NULL!
586;586;1;0;1;3;2;0;#NULL!
586;586;1;0;1;3;2;0;#NULL!
586;4;1;0;1;3;2;0;4
231;232;3;1;2;2;2;0;2
586;4;1;0;1;5;2;0;#NULL!
586;4;1;0;1;4;2;0;#NULL!
231;232;1;0;1;2;2;0;#NULL!
586;4;1;0;1;5;2;0;#NULL!
231;232;1;0;1;2;1;0;#NULL!
231;232;1;1;1;2;1;0;#NULL!
586;4;1;0;2;4;2;0;#NULL!
400;760;1;0;1;6;2;0;#NULL!
586;4;1;0;2;3;4;0;4
586;4;1;0;2;4;2;0;4
231;232;1;1;1;3;2;0;#NULL!
231;232;1;0;1;1;1;0;#NULL!
231;232;3;1;2;3;2;0;2
400;760;2;0;1;2;2;0;#NULL!
586;4;1;0;1;4;2;0;#NULL!
400;760;2;0;2;5;2;0;#NULL!
231;232;1;0;1;3;2;0;#NULL!
180;180;2;0;1;4;3;0;#NULL!
586;4;1;0;1;3;1;0;98
586;4;1;0;2;4;2;0;#NULL!
586;586;1;0;2;2;2;0;#NULL!
180;180;2;0;1;2;1;0;#NULL!
180;180;2;0;2;3;3;0;#NULL!
180;180;1;0;2;2;3;0;#NULL!
180;180;1;0;2;1;1;0;#NULL!
231;232;1;1;2;1;1;0;#NULL!
180;180;2;0;2;3;4;0;#NULL!
180;180;1;0;1;4;2;0;#NULL!
180;180;2;0;2;3;3;0;#NULL!
180;180;1;0;2;2;3;0;#NULL!
180;180;1;0;1;4;2;0;#NULL!
180;180;2;0;1;3;3;0;#NULL!
180;180;1;0;1;2;1;0;#NULL!
180;180;2;0;2;3;3;0;#NULL!
180;180;2;0;2;3;2;0;#NULL!
180;180;1;0;2;2;3;0;#NULL!
180;180;2;0;2;2;3;0;#NULL!
180;180;2;0;2;2;2;0;#NULL!
586;4;1;0;1;4;2;0;98
180;180;1;0;2;2;3;0;#NULL!
180;180;1;0;2;3;2;0;#NULL!
231;232;1;0;1;3;2;0;#NULL!
231;232;1;1;1;2;1;0;#NULL!
180;180;2;0;2;3;3;0;#NULL!
180;180;2;0;2;3;2;0;#NULL!
180;180;1;0;1;2;1;0;#NULL!
180;180;2;0;2;4;3;0;#NULL!
180;180;2;0;2;2;3;0;#NULL!
400;760;3;0;1;2;4;0;#NULL!
400;760;3;1;1;4;2;0;#NULL!
180;180;2;0;1;4;3;0;#NULL!
586;4;1;0;2;2;2;0;#NULL!
586;4;1;0;1;4;2;0;#NULL!
586;4;1;0;1;4;2;0;#NULL!
300;4;1;1;1;1;1;1;2
300;586;1;1;1;1;1;1;1
300;586;1;0;1;2;1;1;1
300;586;1;0;2;3;4;1;2
300;4;2;1;1;2;2;1;1
300;586;1;0;2;3;4;1;2
300;586;1;0;1;1;1;1;1
300;180;3;1;1;3;1;1;98
300;180;1;1;2;3;2;1;1
300;180;1;1;2;3;1;1;3
300;180;1;1;1;3;2;1;98
300;180;1;1;2;2;3;1;2
300;180;1;1;2;3;1;1;98
300;180;3;1;1;3;1;1;1
300;586;1;0;1;2;1;1;4
300;586;1;0;1;2;1;1;1
300;586;1;0;1;3;1;1;3
300;180;1;1;1;3;1;1;4
300;180;1;1;1;4;2;1;#NULL!
300;180;1;0;1;3;1;1;1
300;180;1;1;1;3;1;1;1
300;586;1;0;2;4;4;1;2
300;180;1;1;2;3;2;1;2
300;4;1;0;1;1;1;1;1
300;4;1;0;2;2;2;1;1
300;4;2;0;2;3;2;1;1
380;999;1;1;1;2;1;1;3
300;760;1;1;1;2;2;1;2
380;586;1;1;1;2;1;1;2
300;760;1;1;1;2;2;1;2
300;760;1;1;2;2;2;1;#NULL!
300;760;1;1;2;5;2;1;1
300;760;1;1;1;3;2;1;1
